md;incl;azi
407.2388;7.5956;312.1407
407.7388;7.6349;312.2656
408.2388;7.6026;312.1935
408.7388;7.6035;312.3231
409.2388;7.6362;312.5235
409.7388;7.6456;312.3875
410.2388;7.6122;312.3782
410.7388;7.6729;312.837
411.2388;7.5933;312.4346
411.7388;7.6147;312.3914
412.2388;7.6106;312.4356
412.7388;7.5892;312.6073
413.2388;7.6013;312.3606
413.7388;7.6006;312.2331
414.2388;7.6111;312.2368
414.7388;7.5779;312.0421
415.2388;7.6168;312.0901
415.7388;7.5707;312.3102
416.2388;7.6099;312.209
416.7388;7.5771;312.1331
417.2388;7.5805;311.9046
417.7388;7.5807;311.9837
418.2388;7.581;312.0006
418.7388;7.614;311.7982
419.2388;7.6039;312.133
419.7388;7.5708;311.7512
420.2388;7.5898;311.7599
420.7388;7.5992;311.7654
421.2388;7.6082;311.9656
421.7388;7.5537;311.3981
422.2388;7.5353;311.3001
422.7388;7.5405;311.0728
423.2388;7.5364;311.1486
423.7388;7.5592;311.1328
424.2388;7.5936;310.9129
424.7388;7.5956;310.9291
425.2388;7.568;310.9153
425.7388;7.5662;310.6066
426.2388;7.5664;310.9059
426.7388;7.5661;310.7095
427.2388;7.5703;310.7233
427.7388;7.5812;310.8549
428.2388;7.5812;310.5699
428.7388;7.5823;310.6619
429.2388;7.5883;310.3882
429.7388;7.5877;310.3911
430.2388;7.6133;310.3554
430.7388;7.6246;310.2525
431.2388;7.6109;310.3304
431.7388;7.5961;310.2219
432.2388;7.5821;310.1766
432.7388;7.6026;310.0522
433.2388;7.6312;309.9753
433.7388;7.6224;309.9456
434.2388;7.6323;309.7803
434.7388;7.6201;309.9733
435.2388;7.6411;309.7079
435.7388;7.6489;309.7983
436.2388;7.6477;309.705
436.7388;7.6299;309.6695
437.2388;7.6391;309.6115
437.7388;7.6694;309.8458
438.2388;7.6327;309.5525
438.7388;7.6555;309.6222
439.2388;7.6684;309.8197
439.7388;7.6825;309.7233
440.2388;7.664;309.403
440.7388;7.6529;309.391
441.2388;7.6478;309.3294
441.7388;7.6806;309.514
442.2388;7.6608;309.4167
442.7388;7.6373;309.4088
443.2388;7.6625;309.4073
443.7388;7.6768;309.1885
444.2388;7.6773;309.3058
444.7388;7.6467;309.4374
445.2388;7.6479;309.1511
445.7388;7.6629;309.2036
446.2388;7.6636;309.2376
446.7388;7.6428;309.088
447.2388;7.6369;309.174
447.7388;7.6339;309.111
448.2388;7.631;309.1659
448.7388;7.6124;309.3211
449.2388;7.595;309.1279
449.7388;7.6231;309.1413
450.2388;7.5823;309.1109
450.7388;7.5872;309.1318
451.2388;7.6226;309.1772
451.7388;7.6467;309.1046
452.2388;7.6315;309.2227
452.7388;7.6051;309.1867
453.2388;7.6322;309.2145
453.7388;7.6296;309.2982
454.2388;7.5934;309.037
454.7388;7.6123;309.222
455.2388;7.6248;309.1735
455.7388;7.6246;309.1213
456.2388;7.603;309.0794
456.7388;7.6115;309.2403
457.2388;7.5823;309.1204
457.7388;7.6245;308.6654
458.2388;7.617;308.8945
458.7388;7.6171;308.9466
459.2388;7.6103;308.8404
459.7388;7.5993;308.9107
460.2388;7.6225;308.5378
460.7388;7.6175;308.5487
461.2388;7.6844;307.7422
461.7388;7.6349;307.9723
462.2388;7.6559;308.5185
462.7388;7.6176;309.1135
463.2388;7.573;309.0334
463.7388;7.5997;309.1888
464.2388;7.5978;309.1853
464.7388;7.6365;308.2079
465.2388;7.6293;309.0862
465.7388;7.6146;309.3175
466.2388;7.598;309.1252
466.7388;7.5892;309.0081
467.2388;7.6149;309.2885
467.7388;7.6039;309.3768
468.2388;7.6171;308.8449
468.7388;7.6003;309.1379
469.2388;7.5843;309.3063
469.7388;7.5793;308.9991
470.2388;7.573;309.2244
470.7388;7.5798;309.0632
471.2388;7.5787;309.2431
471.7388;7.5706;309.1123
472.2388;7.5698;309.2169
472.7388;7.5211;309.2252
473.2388;7.5621;309.1415
473.7388;7.56;309.378
474.2388;7.5151;309.3249
474.7388;7.5198;309.245
475.2388;7.5127;309.281
475.7388;7.5107;309.4263
476.2388;7.5121;309.3407
476.7388;7.5097;309.4922
477.2388;7.5109;309.1703
477.7388;7.5053;309.4436
478.2388;7.4574;309.4635
478.7388;7.4202;308.8078
479.2388;7.3824;309.5423
479.7388;7.3661;309.4496
480.2388;7.326;309.3103
480.7388;7.3309;309.4974
481.2388;7.4216;309.6797
481.7388;7.3155;309.9395
482.2388;7.3515;309.9175
482.7388;7.3325;309.8501
483.2388;7.3252;310.1587
483.7388;7.3211;310.2447
484.2388;7.3159;310.4543
484.7388;7.3188;310.279
485.2388;7.3233;310.5857
485.7388;7.3234;310.8321
486.2388;7.3281;310.7562
486.7388;7.326;310.8799
487.2388;7.3297;311.1056
487.7388;7.3316;311.0768
488.2388;7.3314;311.1998
488.7388;7.3344;311.2959
489.2388;7.3333;311.1501
489.7388;7.3351;311.2253
490.2388;7.2827;311.1678
490.7388;7.3178;311.1719
491.2388;7.3286;311.2068
491.7388;7.2895;310.967
492.2388;7.2953;311.2883
492.7388;7.3047;311.4762
493.2388;7.3151;311.4001
493.7388;7.3206;311.2426
494.2388;7.3362;311.4901
494.7388;7.291;311.4507
495.2388;7.3027;311.4956
495.7388;7.3044;311.4228
496.2388;7.3111;311.5971
496.7388;7.3096;311.8452
497.2388;7.2907;311.6512
497.7388;7.291;311.7266
498.2388;7.301;311.7016
498.7388;7.3044;311.6997
499.2388;7.2976;311.5829
499.7388;7.2956;311.5468
500.2388;7.2916;311.6367
500.7388;7.3107;311.8471
501.2388;7.3251;312.0918
501.7388;7.3265;312.0941
502.2388;7.2777;311.8422
502.7388;7.2734;311.7629
503.2388;7.3245;312.0146
503.7388;7.2799;312.0625
504.2388;7.3078;311.956
504.7388;7.3202;311.9984
505.2388;7.3059;312.258
505.7388;7.2964;311.9557
506.2388;7.3071;311.9814
506.7388;7.3034;312.0521
507.2388;7.3105;312.2796
507.7388;7.3141;311.9306
508.2388;7.3412;312.3148
508.7388;7.3612;312.4297
509.2388;7.371;312.4124
509.7388;7.3837;312.2742
510.2388;7.3966;312.4675
510.7388;7.3996;312.1635
511.2388;7.4124;312.132
511.7388;7.4849;312.0624
512.2388;7.4849;311.9176
512.7388;7.5057;312.2289
513.2388;7.5082;312.3634
513.7388;7.53;312.2119
514.2388;7.5561;312.3393
514.7388;7.5626;312.4669
515.2388;7.5463;312.2947
515.7388;7.5556;312.2466
516.2388;7.5552;312.4212
516.7388;7.5728;312.5522
517.2388;7.541;312.4589
517.7388;7.603;312.7341
518.2388;7.603;312.6461
518.7388;7.6055;312.7383
519.2388;7.5798;312.869
519.7388;7.5945;312.9106
520.2388;7.6344;313.2769
520.7388;7.6265;313.0904
521.2388;7.6268;313.0908
521.7388;7.6267;313.1781
522.2388;7.6036;313.3396
522.7388;7.6208;313.5247
523.2388;7.6209;313.4595
523.7388;7.6434;313.5597
524.2388;7.6207;313.3719
524.7388;7.6219;313.6354
525.2388;7.5962;313.4408
525.7388;7.6373;313.549
526.2388;7.6382;313.4636
526.7388;7.6601;313.7373
527.2388;7.6386;313.7478
527.7388;7.6339;313.997
528.2388;7.6305;313.813
528.7388;7.6504;314.0205
529.2388;7.6516;314.0231
529.7388;7.6433;314.1003
530.2388;7.6539;313.8925
530.7388;7.635;314.1495
531.2388;7.6384;313.8586
531.7388;7.6391;314.06
532.2388;7.6467;314.2133
532.7388;7.6274;314.4281
533.2388;7.6637;314.4809
533.7388;7.6769;314.9583
534.2388;7.6462;314.4038
534.7388;7.6828;314.6248
535.2388;7.682;314.5909
535.7388;7.6883;314.4517
536.2388;7.6965;314.5178
536.7388;7.7049;314.5965
537.2388;7.6718;314.4881
537.7388;7.6844;314.4396
538.2388;7.6989;314.5524
538.7388;7.6987;314.6345
539.2388;7.7118;314.5063
539.7388;7.7117;314.6351
540.2388;7.725;314.38
540.7388;7.7137;314.4309
541.2388;7.739;314.3551
541.7388;7.7405;314.131
542.2388;7.7561;314.4905
542.7388;7.7558;314.5374
543.2388;7.7688;314.4966
543.7388;7.7549;314.3762
544.2388;7.7698;314.3775
544.7388;7.8134;314.5549
545.2388;7.7886;314.3866
545.7388;7.8047;314.2177
546.2388;7.8169;314.3839
546.7388;7.7864;314.1788
547.2388;7.8;314.294
547.7388;7.8148;314.2054
548.2388;7.8289;314.0112
548.7388;7.8291;314.2925
549.2388;7.8694;314.1671
549.7388;7.8471;314.1049
550.2388;7.8765;314.1407
550.7388;7.8645;314.0768
551.2388;7.8531;313.8829
551.7388;7.852;313.9646
552.2388;7.8838;314.1778
552.7388;7.8939;313.9664
553.2388;7.8813;314.0505
553.7388;7.881;313.9719
554.2388;7.8834;313.9681
554.7388;7.9075;313.9772
555.2388;7.9158;313.7055
555.7388;7.9058;313.8746
556.2388;7.8827;313.7715
556.7388;7.8848;313.8452
557.2388;7.8854;313.7713
557.7388;7.9106;313.7967
558.2388;7.9054;313.8195
558.7388;7.9279;313.6507
559.2388;7.9205;313.8587
559.7388;7.9121;313.6625
560.2388;7.9063;313.7325
560.7388;7.9036;313.9451
561.2388;7.9366;313.884
561.7388;7.9342;313.9156
562.2388;7.9276;313.8002
562.7388;7.9138;313.6536
563.2388;7.923;313.7311
563.7388;7.9201;313.6355
564.2388;7.9067;313.7328
564.7388;7.9538;313.7063
565.2388;7.9532;313.6966
565.7388;7.9516;313.5757
566.2388;7.961;313.3908
566.7388;7.9646;313.5546
567.2388;7.9523;313.4422
567.7388;7.948;313.3047
568.2388;7.9548;313.2466
568.7388;7.9514;313.0938
569.2388;7.9683;313.3606
569.7388;7.9802;313.2906
570.2388;7.9806;313.2168
570.7388;7.9878;313.1252
571.2388;7.95;312.916
571.7388;7.9747;312.9413
572.2388;7.9848;312.7333
572.7388;7.9666;312.8814
573.2388;7.9867;312.7846
573.7388;8.0086;313.0112
574.2388;7.9635;312.6148
574.7388;7.9746;312.7047
575.2388;7.9863;312.6947
575.7388;7.9847;312.6129
576.2388;7.9926;312.695
576.7388;7.9972;312.6758
577.2388;7.9975;312.3927
577.7388;8.0092;312.5029
578.2388;8.0079;312.3787
578.7388;8.0203;312.489
579.2388;8.0206;312.3295
579.7388;8.0087;312.2202
580.2388;8.007;312.2973
580.7388;8.0098;312.2749
581.2388;8.0087;312.3001
581.7388;8.0196;312.4079
582.2388;8.0329;312.3969
582.7388;8.0163;312.3791
583.2388;8.0317;312.1127
583.7388;8.0338;312.1163
584.2388;8.0462;312.1028
584.7388;8.0339;312.1164
585.2388;8.0217;311.9273
585.7388;8.0324;311.912
586.2388;8.0453;311.9398
586.7388;8.057;311.8432
587.2388;8.0561;311.9561
587.7388;8.0799;311.8445
588.2388;8.0665;311.8584
588.7388;8.038;311.7221
589.2388;8.0827;311.7422
589.7388;8.057;311.5755
590.2388;8.0726;311.7593
590.7388;8.0732;311.8424
591.2388;8.0733;311.6766
591.7388;8.1161;311.7454
592.2388;8.0718;311.5901
592.7388;8.1055;311.5801
593.2388;8.1069;311.4236
593.7388;8.1136;311.7312
594.2388;8.1327;311.7478
594.7388;8.1308;311.7446
595.2388;8.1133;311.6486
595.7388;8.1238;311.4275
596.2388;8.1229;311.6043
596.7388;8.1054;311.5895
597.2388;8.0964;311.5524
597.7388;8.1154;311.3956
598.2388;8.1328;311.3735
598.7388;8.1447;311.4246
599.2388;8.1444;311.5189
599.7388;8.1457;311.4357
600.2388;8.1393;311.5645
600.7388;8.1408;311.4813
601.2388;8.1613;311.4901
601.7388;8.1355;311.697
602.2388;8.1552;311.6165
602.7388;8.1576;311.4482
603.2388;8.1331;311.4863
603.7388;8.1557;311.445
604.2388;8.1768;311.5747
604.7388;8.1591;311.4863
605.2388;8.1402;311.3849
605.7388;8.1585;311.4493
606.2388;8.1224;311.3521
606.7388;8.1193;311.4324
607.2388;8.1407;311.4288
607.7388;8.1261;311.2162
608.2388;8.1288;311.1463
608.7388;8.1007;311.2523
609.2388;8.1442;311.481
609.7388;8.1327;311.0845
610.2388;8.1148;311.2427
610.7388;8.1104;311.2787
611.2388;8.1129;311.0694
611.7388;8.1329;311.2551
612.2388;8.1077;311.0918
612.7388;8.1236;310.9889
613.2388;8.0849;310.9348
613.7388;8.0871;310.6205
614.2388;8.0978;310.5769
614.7388;8.0879;310.6582
615.2388;8.1061;310.5966
615.7388;8.0843;310.5545
616.2388;8.0837;310.4676
616.7388;8.0826;310.4419
617.2388;8.125;310.325
617.7388;8.1086;310.1566
618.2388;8.0822;310.1422
618.7388;8.1077;310.2299
619.2388;8.1489;310.0894
619.7388;8.1016;310.0816
620.2388;8.1022;309.9106
620.7388;8.1083;309.8336
621.2388;8.148;310.0023
621.7388;8.1249;309.9289
622.2388;8.1477;309.5461
622.7388;8.1196;309.5142
623.2388;8.1717;309.7941
623.7388;8.1566;309.6394
624.2388;8.1206;309.5681
624.7388;8.1559;309.7408
625.2388;8.1149;309.5356
625.7388;8.1072;309.4014
626.2388;8.0673;309.3249
626.7388;8.0834;309.2382
627.2388;8.0605;309.2175
627.7388;8.1007;309.0728
628.2388;8.1223;309.0874
628.7388;8.1189;309.0525
629.2388;8.1033;308.9796
629.7388;8.0857;309.1298
630.2388;8.0751;309.2178
630.7388;8.1303;309.4229
631.2388;8.1276;309.4722
